Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
QEP,"QEP Resources, Inc.",Basic Materials,Oil & Gas Pipelines,USA,30.36,21.26,2.96,1.98,1.8,1584.33,,0.23%,7.10%,1.13,23.60%,21.72%,-21.10%,10.25%,4.80%,,26.90%,2.10%,6.00%,4.10%,66.70%,16.00%,6.50%,12.31%,6.09%,22.01%,1.9,1.67%,2.04%,1.82%,8.82%,-2.00%,8.44%,-2.00%,32.50%,54.5,34.31
RAD,Rite Aid Corporation,Services,Drug Stores,USA,37.65,13.91,0.95,0.24,,37.78,19.92,,0.00%,0.17,91.70%,31.81%,15.60%,39.62%,-0.60%,-55.60%,2.70%,2.40%,-7.60%,18.10%,28.40%,2.80%,0.70%,-21.18%,-1.99%,86.05%,1.64,2.22%,3.38%,-7.22%,-1.54%,-17.42%,9.03%,-25.75%,91.04%,43.82,6.4
RAI,Reynolds American Inc.,Consumer Goods,Cigarettes,USA,19.93,15.94,2.48,3.73,6.32,23.47,196.27,4.62%,86.20%,2.91,40.20%,7.60%,6.60%,8.05%,-1.40%,9.50%,-0.80%,10.20%,31.80%,20.50%,53.20%,35.10%,19.40%,0.35%,21.06%,27.25%,0.44,1.05%,1.65%,-1.65%,8.79%,-8.50%,5.03%,-8.50%,29.04%,51.95,58
RCL,Royal Caribbean Cruises Ltd.,Services,Resorts & Casinos,USA,26.27,14.14,0.99,1.76,1.6,76.28,20.53,1.57%,41.20%,2.42,44.60%,29.48%,-4.40%,26.63%,4.00%,34.80%,-47.80%,2.70%,6.10%,4.70%,33.60%,10.80%,6.70%,17.28%,21.61%,67.76%,2.62,1.10%,2.11%,9.47%,22.98%,-0.58%,19.67%,-0.58%,82.15%,65.74,63.58
REG,Regency Centers Corporation,Financial,REIT - Retail,USA,69.22,75.88,11.73,10.26,3.57,142.84,,3.31%,136.10%,0.82,331.30%,6.25%,-12.40%,5.90%,-0.20%,47.40%,10.30%,3.20%,8.40%,4.70%,74.20%,33.40%,24.60%,7.74%,15.02%,19.90%,1.21,1.27%,1.35%,2.98%,12.36%,-2.12%,7.83%,-2.12%,28.93%,59.35,56.76
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,97.65,27.9,4.56,13.78,14.44,42.16,66.98,,0.00%,3.49,-43.60%,20.45%,42.20%,21.44%,54.60%,3.80%,45.50%,12.90%,19.30%,19.20%,88.20%,34.30%,15.90%,14.45%,-1.96%,43.58%,0.89,1.58%,2.43%,8.58%,13.00%,-3.47%,26.45%,-3.47%,46.22%,64.66,340.79
RF,Regions Financial Corporation,Financial,Regional - Southeast Banks,USA,12.78,11.3,2.46,3.84,0.86,2.83,7.06,1.98%,17.30%,0.79,2.60%,4.56%,16.00%,5.20%,-11.10%,16.70%,-0.90%,0.90%,7.10%,13.30%,,52.10%,30.50%,0.80%,-2.51%,1.81%,2.07,1.88%,1.78%,-2.25%,-1.19%,-7.85%,4.66%,-12.08%,15.51%,51.54,10.1
RGA,Reinsurance Group of America Inc.,Financial,Life Insurance,USA,9.36,9.47,0.41,0.53,0.84,4.07,3.29,1.47%,13.60%,8.73,-32.20%,7.04%,14.90%,22.80%,12.30%,511.60%,9.00%,1.50%,10.00%,6.40%,,22.80%,5.80%,5.72%,10.30%,26.53%,1.17,0.77%,1.18%,2.63%,6.87%,-0.78%,6.02%,-0.78%,29.95%,59.22,81.74
RGP,Regency Energy Partners LP,Basic Materials,Oil & Gas Pipelines,USA,388.63,70.34,5.23,3.71,1.41,966.13,,6.18%,,0.08,30.80%,209.09%,-31.00%,74.30%,7.10%,-266.70%,-0.10%,0.10%,0.20%,0.80%,28.30%,2.70%,0.30%,13.38%,17.81%,20.74%,0.6,1.61%,2.31%,1.04%,15.80%,-2.57%,9.78%,-2.57%,37.19%,52.41,31.09
RHI,Robert Half International Inc.,Services,Staffing & Outsourcing Services,USA,25.12,19.71,1.54,1.55,6.87,22.15,35.54,1.45%,34.20%,1.98,22.00%,16.54%,2.90%,16.33%,-1.60%,19.60%,9.60%,17.80%,29.00%,27.30%,40.80%,9.80%,6.10%,9.80%,24.54%,34.55%,1.34,1.10%,1.48%,2.63%,15.50%,-5.97%,6.51%,-5.97%,43.89%,55.44,49.73
RHT,"Red Hat, Inc.",Technology,Application Software,USA,67.51,33.85,4.48,7.36,7.72,14.62,24.17,,0.00%,0.92,20.80%,19.54%,19.00%,15.07%,18.70%,-4.80%,16.70%,6.00%,11.70%,11.00%,84.90%,14.30%,11.00%,22.53%,5.47%,19.53%,1.08,1.81%,1.51%,10.08%,15.90%,-0.93%,23.21%,-0.93%,48.27%,74.18,62.11
RJF,"Raymond James Financial, Inc.",Financial,Investment Brokerage - Regional,USA,16.9,14.93,0.99,1.59,1.95,2.9,,1.18%,18.90%,3.2,17.30%,12.80%,6.00%,17.00%,7.50%,44.10%,9.10%,2.00%,12.30%,8.00%,96.80%,14.40%,9.50%,11.57%,2.48%,30.68%,1.32,1.36%,1.64%,6.79%,7.30%,-0.04%,11.85%,-3.65%,36.45%,71.99,54.09
RKT,Rock-Tenn Company,Consumer Goods,Packaging & Containers,USA,13.83,11.7,1.27,0.69,1.53,169.73,15.07,1.48%,16.00%,6.86,188.40%,14.22%,36.20%,10.87%,27.40%,-4.20%,3.40%,5.70%,13.90%,11.70%,19.60%,9.70%,6.30%,-4.58%,-12.47%,-16.07%,1.43,1.07%,1.77%,-5.12%,-5.51%,-11.02%,1.56%,-23.70%,4.07%,39.02,94.85
RL,Ralph Lauren Corporation,Consumer Goods,Textile - Apparel Clothing,USA,20.53,17,2.16,1.99,3.8,10.91,32.11,1.06%,20.30%,8.27,5.40%,15.06%,16.00%,9.50%,8.20%,-7.20%,3.30%,12.30%,18.90%,17.60%,57.90%,14.90%,10.10%,11.49%,7.21%,-0.44%,1.29,1.36%,1.59%,6.57%,5.62%,-0.14%,11.73%,-5.46%,19.95%,76.06,169.77
RLGY,Realogy Holdings Corp.,Financial,Property Management,USA,13.18,21.52,0.93,1.11,2.87,28.29,15.94,,0.00%,3.07,120.80%,70.60%,18.30%,14.15%,2.30%,-19.30%,-1.40%,6.20%,23.40%,6.80%,22.80%,9.80%,8.50%,10.52%,-11.56%,-6.36%,,1.52%,2.29%,6.74%,-5.14%,-2.06%,16.03%,-21.21%,16.36%,60.74,40.46
RMD,ResMed Inc.,Healthcare,Medical Appliances & Equipment,USA,22.66,18,1.75,4.68,4.32,7.75,38.13,1.93%,31.60%,2.29,22.80%,11.27%,24.60%,12.97%,12.60%,8.60%,3.70%,17.80%,24.80%,14.50%,63.60%,26.90%,26.50%,4.24%,13.30%,7.79%,0.78,1.11%,2.05%,2.59%,9.06%,-3.26%,12.20%,-7.62%,26.95%,59.46,51.88
ROC,"Rockwood Holdings, Inc.",Basic Materials,Specialty Chemicals,USA,85.42,26.77,8.54,4.06,2.07,3.87,216.83,2.27%,7.90%,0.93,-75.30%,36.46%,16.00%,10.00%,-15.20%,262.50%,5.20%,31.00%,69.40%,4.90%,44.90%,15.60%,,5.47%,9.03%,26.06%,2.28,0.63%,1.16%,1.16%,8.06%,-7.82%,9.57%,-7.82%,29.72%,50.24,79.44
ROK,Rockwell Automation Inc.,Industrial Goods,Diversified Machinery,USA,20.61,16.97,1.83,2.45,5.91,9.18,27.24,1.99%,39.50%,5.65,4.50%,11.94%,6.60%,11.25%,2.20%,-1.40%,1.60%,13.20%,29.50%,20.60%,41.10%,17.30%,12.10%,-3.47%,-2.43%,19.07%,1.4,0.94%,1.42%,-3.12%,-1.18%,-8.46%,6.61%,-8.96%,22.79%,48.9,116.45
ROP,Roper Industries Inc.,Industrial Goods,Diversified Machinery,USA,24.94,21.97,1.87,4.38,3.3,26.61,20.59,0.53%,12.00%,6.03,10.50%,8.17%,12.30%,13.30%,7.00%,40.50%,12.90%,7.40%,14.10%,9.40%,59.00%,27.60%,17.70%,6.30%,11.45%,20.50%,0.97,0.92%,1.45%,3.04%,9.37%,-0.90%,5.89%,-0.90%,22.97%,61.98,150.37
ROST,Ross Stores Inc.,Services,Apparel Stores,USA,18.78,15.87,1.63,1.52,7.49,26.4,37.54,1.08%,17.70%,3.96,9.90%,11.28%,27.30%,11.50%,9.50%,7.50%,5.50%,21.30%,42.60%,38.80%,28.00%,13.10%,8.20%,8.33%,7.97%,9.69%,0.61,2.26%,1.63%,13.00%,6.48%,6.02%,20.28%,-8.56%,20.28%,78.34,74.37
RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,USA,21.32,17.03,2.56,1.42,4.37,18.73,106.58,2.06%,31.00%,2.19,197.30%,13.68%,18.80%,8.33%,5.40%,65.30%,9.10%,9.40%,29.50%,13.60%,42.90%,11.10%,8.90%,10.06%,17.75%,36.31%,1.4,0.96%,1.45%,3.47%,11.28%,-0.55%,7.55%,-0.55%,43.25%,66.43,46.7
RRC,Range Resources Corporation,Basic Materials,Independent Oil & Gas,USA,50.5,32.16,1.69,6.25,4.12,43164.71,,0.21%,10.50%,1.52,775.00%,31.81%,-20.80%,29.85%,8.30%,18.20%,12.20%,3.30%,9.60%,4.70%,83.30%,30.20%,11.90%,-13.40%,-12.22%,-0.48%,0.8,1.71%,2.13%,-4.84%,-8.55%,-13.78%,3.97%,-19.51%,5.97%,46.79,76.76
RS,Reliance Steel & Aluminum Co.,Basic Materials,Steel & Iron,USA,15.92,11.1,1.68,0.54,1.33,47.57,31.21,2.02%,30.90%,4.35,-22.30%,23.28%,-8.80%,9.50%,1.10%,16.20%,6.90%,4.50%,8.70%,6.70%,25.90%,6.30%,3.40%,-3.31%,2.03%,1.52%,1.82,1.16%,1.64%,-3.17%,-2.86%,-7.67%,4.25%,-8.44%,7.79%,45.67,69.24
RSG,"Republic Services, Inc.",Industrial Goods,Waste Management,USA,19.77,18.24,2.29,1.63,1.78,282.69,55.57,2.64%,52.00%,1.99,4.50%,9.44%,34.40%,8.63%,18.00%,233.30%,5.40%,3.60%,9.20%,6.30%,38.50%,16.80%,8.40%,13.47%,18.24%,20.79%,0.66,0.85%,1.08%,4.33%,13.64%,-0.68%,8.43%,-0.68%,27.06%,70.18,39.34
RTN,Raytheon Co.,Industrial Goods,Aerospace/Defense Products & Services,USA,15.02,12.41,1.37,1.31,2.58,7.19,16.68,2.51%,33.80%,6.43,5.50%,12.70%,8.70%,10.98%,0.50%,6.00%,-6.80%,8.20%,20.10%,13.50%,23.10%,13.10%,9.50%,0.18%,-0.42%,29.27%,0.71,1.10%,1.42%,3.24%,4.02%,-0.44%,8.31%,-5.01%,33.32%,64.28,96.58
S,Sprint Corporation,Technology,Wireless Communications,USA,,,,0.63,0.86,3.98,,,,-0.48,92.60%,,-73.48%,5.00%,,133.30%,-1.00%,-2.20%,-7.30%,0.60%,44.70%,1.30%,-5.40%,-40.04%,-34.05%,-19.94%,,3.20%,4.06%,-26.81%,-34.01%,-37.68%,3.36%,-51.70%,3.36%,24.25,5.54
SAVE,"Spirit Airlines, Inc.",Services,Major Airlines,USA,25.8,18.3,0.92,2.92,6.05,9.33,,,0.00%,2.82,62.40%,28.22%,39.40%,28.00%,16.00%,51.70%,22.60%,16.70%,26.00%,23.00%,36.40%,18.30%,11.40%,26.58%,31.62%,132.27%,,2.49%,2.66%,10.98%,30.91%,0.51%,22.30%,0.51%,145.43%,68.2,72.77
SBAC,SBA Communications Corp.,Services,Rental & Leasing Services,USA,,229.58,,10.03,87.57,123.43,31.37,,,-0.06,71.10%,1666.70%,6.30%,17.00%,22.40%,75.00%,18.20%,-0.10%,-1.70%,3.60%,70.80%,23.10%,-0.40%,7.94%,13.23%,49.92%,0.71,1.66%,2.14%,4.45%,14.10%,-2.81%,12.37%,-2.81%,51.09%,57.29,108.59
SBNY,Signature Bank,Financial,Regional - Mid-Atlantic Banks,USA,23.3,17.81,1.56,7.47,2.93,26.51,,,0.00%,5.08,21.70%,14.21%,28.70%,14.95%,18.50%,29.20%,24.30%,1.10%,13.60%,24.70%,,53.00%,30.60%,4.11%,-5.94%,28.62%,0.71,1.51%,1.82%,-1.00%,0.65%,-7.85%,5.54%,-11.05%,37.51%,57.24,118.38
SBUX,Starbucks Corporation,Services,Specialty Eateries,USA,249.29,24.49,13.89,3.61,11.47,48.53,,1.35%,99.00%,0.31,-99.40%,17.98%,-52.90%,17.95%,7.50%,21.80%,11.20%,7.50%,16.30%,-1.50%,29.50%,16.20%,4.90%,7.72%,7.26%,9.00%,0.93,0.86%,1.17%,-0.26%,3.19%,-3.84%,5.45%,-5.15%,14.56%,47.38,77.28
SC,Santander Consumer USA Holdings Inc.,Financial,Mortgage Investment,USA,11.94,7.7,1.01,1.36,2.11,142.46,5.38,3.20%,9.40%,1.57,-2.40%,5.50%,32.10%,11.85%,22.20%,30.20%,37.80%,2.00%,19.60%,2.70%,89.80%,18.20%,11.50%,-11.69%,-25.37%,,,2.36%,2.60%,-1.92%,-13.91%,-6.95%,8.01%,-28.80%,8.01%,51.59,18.74
SCCO,Southern Copper Corp.,Basic Materials,Copper,USA,18.97,15.17,2.08,4.63,4.49,16.42,,1.25%,27.40%,1.69,-15.80%,20.80%,4.00%,9.10%,4.20%,-9.10%,5.50%,12.60%,25.00%,18.10%,51.40%,40.90%,24.50%,5.74%,3.69%,13.81%,1.5,2.33%,2.11%,1.33%,9.89%,-5.09%,13.48%,-5.09%,32.29%,52.86,32.06
SCG,SCANA Corp.,Utilities,Electric Utilities,USA,13.78,13.83,3,1.52,1.49,100.88,,4.11%,55.00%,3.71,7.60%,1.59%,2.70%,4.60%,-3.30%,-60.50%,-55.90%,3.40%,11.10%,6.50%,63.70%,19.50%,10.90%,0.83%,5.79%,9.93%,0.42,1.15%,1.64%,-1.46%,3.98%,-5.12%,5.36%,-5.12%,17.91%,50.17,51.13
SCHW,The Charles Schwab Corporation,Financial,Investment Brokerage - National,USA,31.05,24.25,1.4,6.36,3.64,5.45,28.21,0.84%,26.10%,0.92,13.00%,22.20%,-6.00%,22.22%,0.40%,27.80%,9.70%,0.80%,12.30%,9.40%,98.20%,34.30%,20.50%,11.65%,8.18%,34.51%,1.56,1.74%,1.92%,4.41%,9.64%,-0.07%,16.03%,-1.47%,41.14%,62.7,28.57
SCTY,SolarCity Corporation,Technology,Semiconductor - Specialized,USA,,,,33.21,10.45,12.62,,,,-0.52,90.90%,-16.00%,16.30%,,38.40%,51.90%,111.70%,-1.70%,-9.70%,-9.70%,23.60%,-96.10%,-19.70%,35.89%,-9.96%,106.93%,,2.49%,4.28%,2.99%,12.42%,-10.92%,41.72%,-19.94%,149.84%,49.61,70.73
SE,Spectra Energy Corp.,Basic Materials,Oil & Gas Pipelines,USA,25.77,25.8,5.15,4.7,3.16,91.04,,3.29%,80.50%,1.58,8.40%,4.37%,-3.10%,5.00%,1.70%,-26.70%,2.70%,3.10%,12.30%,5.40%,78.60%,30.70%,18.30%,0.39%,10.36%,25.61%,0.84,1.18%,1.51%,-1.65%,8.81%,-4.79%,4.53%,-4.79%,29.40%,48.17,40.71
SEE,Sealed Air Corporation,Consumer Goods,Packaging & Containers,USA,45.81,18.22,2.53,0.99,5.47,21.52,,1.44%,35.60%,0.79,105.20%,17.45%,-15.00%,18.10%,9.70%,12.00%,1.90%,3.30%,20.50%,8.30%,34.10%,9.30%,3.80%,10.81%,11.05%,27.07%,1.31,1.61%,2.10%,7.57%,10.88%,0.86%,14.63%,-2.32%,40.13%,73.45,36.19
SEIC,SEI Investments Co.,Financial,Asset Management,USA,21.92,17.37,1.83,5.11,5.13,11.1,26.74,1.20%,38.60%,1.67,39.00%,14.69%,18.20%,12.00%,-2.00%,2.10%,16.10%,20.40%,24.50%,10.70%,81.40%,25.20%,24.20%,14.26%,7.42%,17.53%,1.17,1.06%,1.46%,7.65%,9.87%,-0.38%,15.13%,-0.38%,26.57%,66.7,36.61
SEP,"Spectra Energy Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,10.47,21.45,1.59,5.81,1.58,135.75,,3.92%,39.30%,5.43,27.70%,9.15%,38.60%,6.60%,73.50%,-61.20%,7.90%,8.80%,15.40%,8.30%,70.20%,49.80%,43.80%,8.62%,18.20%,39.60%,0.42,1.59%,2.31%,7.98%,18.51%,1.72%,14.86%,0.82%,48.57%,72.33,56.83
SGEN,Seattle Genetics Inc.,Healthcare,Biotechnology,USA,,,,19.24,23.42,15.15,,,,-0.6,-10.90%,22.50%,14.10%,7.80%,50.20%,-133.30%,-7.20%,-15.40%,-31.80%,-27.30%,90.80%,-26.70%,-26.70%,29.25%,-21.11%,1.76%,1.34,2.88%,3.99%,12.03%,3.59%,-1.65%,27.37%,-23.45%,32.49%,69.25,42.86
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,27.92,20.28,1.88,1.98,13.79,79.4,28.62,1.01%,26.50%,7.77,23.10%,23.19%,13.10%,14.85%,5.00%,19.50%,12.10%,12.10%,46.70%,21.80%,45.70%,11.30%,7.30%,7.47%,12.44%,27.59%,0.59,0.81%,1.21%,4.64%,11.00%,-0.41%,8.03%,-0.41%,31.87%,66.76,216.96
SIAL,Sigma-Aldrich Corporation,Basic Materials,Specialty Chemicals,USA,24.54,22.08,3.4,4.5,3.99,14.7,27.56,0.89%,20.90%,4.22,7.70%,7.47%,8.90%,7.22%,4.20%,13.30%,2.90%,13.20%,17.40%,15.20%,50.60%,25.50%,18.60%,6.24%,11.56%,24.52%,1,0.78%,1.09%,1.61%,9.05%,-0.75%,4.50%,-0.75%,27.40%,58.33,103.54
SIRI,Sirius XM Holdings Inc.,Services,Broadcasting - Radio,USA,59.58,31.36,3.55,5.08,14.3,119.28,18.71,,0.00%,0.06,-88.20%,37.35%,15.10%,16.80%,18.00%,-50.00%,-43.70%,4.00%,14.20%,9.40%,62.00%,26.70%,8.70%,9.33%,-0.42%,-2.59%,1.44,1.02%,1.74%,4.28%,3.73%,-0.14%,8.99%,-14.47%,19.97%,64.73,3.58
SIVB,SVB Financial Group,Financial,Regional - Pacific Banks,USA,19.1,19.45,2.25,6.93,1.97,1.26,18.15,,0.00%,5.72,20.20%,2.24%,16.80%,8.48%,10.70%,-2.80%,20.10%,0.90%,12.40%,20.40%,,,33.60%,2.22%,-10.82%,22.97%,1.65,1.55%,2.30%,-2.06%,-1.34%,-9.01%,6.73%,-19.07%,37.35%,52.98,109.25
SJM,The J. M. Smucker Company,Consumer Goods,Processed & Packaged Goods,USA,18.7,15.78,2.55,1.84,2.03,67.28,30.51,2.53%,41.70%,5.42,8.40%,6.67%,11.80%,7.33%,8.30%,-4.10%,-7.90%,6.20%,11.00%,8.70%,36.40%,17.00%,10.00%,2.90%,3.94%,-3.45%,0.61,1.27%,1.40%,-2.47%,1.64%,-5.33%,3.43%,-8.11%,17.78%,43.55,101.36
SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,21.29,15.91,1.25,3.01,3.5,21.1,31.03,1.47%,26.60%,5.12,30.40%,20.30%,2.90%,17.03%,11.00%,-17.50%,-1.20%,9.80%,16.60%,13.70%,22.70%,19.30%,14.00%,7.95%,18.05%,34.72%,1.62,1.35%,1.70%,-2.08%,11.53%,-8.19%,3.45%,-8.19%,37.57%,47.48,109.03
SLG,SL Green Realty Corp.,Financial,REIT - Retail,USA,33.66,68.03,5.68,6.99,1.6,34.05,881.61,1.82%,34.70%,3.26,-39.50%,-19.75%,33.50%,5.93%,7.00%,756.60%,9.40%,3.00%,7.20%,3.40%,63.10%,31.50%,30.40%,1.23%,14.47%,28.32%,1.4,1.16%,1.35%,0.23%,9.35%,-2.58%,3.93%,-2.58%,31.72%,51.59,109.74
SLXP,Salix Pharmaceuticals Ltd.,Healthcare,Drugs - Generic,USA,191.52,22.78,9.94,8.02,14.17,26.29,,,0.00%,0.83,115.80%,13.06%,33.30%,19.27%,39.20%,-87.50%,62.30%,2.00%,8.60%,8.50%,74.70%,13.90%,4.70%,39.22%,46.83%,132.67%,1.23,6.20%,3.85%,20.71%,47.49%,-2.11%,44.77%,-2.11%,144.82%,73.79,158.96
SM,SM Energy Company,Basic Materials,Independent Oil & Gas,USA,26.85,11.45,1.02,2.13,3.07,32.91,,0.12%,5.00%,2.98,402.40%,1.98%,12.70%,26.41%,12.90%,-22.10%,22.00%,4.20%,12.30%,8.10%,73.80%,33.00%,8.00%,4.74%,9.01%,17.39%,1.3,2.37%,2.97%,0.43%,0.76%,-6.30%,7.30%,-14.83%,19.93%,53.1,80.01
SNA,Snap-on Incorporated,Industrial Goods,Small Tools & Accessories,USA,19.38,16.88,1.94,2.3,3.22,62.74,30.21,1.41%,25.90%,6.45,14.00%,9.23%,7.80%,10.00%,1.40%,20.00%,8.20%,9.20%,17.80%,13.60%,48.20%,21.80%,12.00%,8.29%,15.24%,32.47%,1.23,0.90%,1.25%,3.86%,11.83%,-0.96%,8.30%,-0.96%,36.02%,61.88,125
SNDK,SanDisk Corp.,Technology,Data Storage Devices,USA,20,14.68,0.8,3.38,3.09,8.2,17.63,0.92%,17.60%,4.9,155.30%,12.77%,20.00%,25.00%,13.00%,7.50%,10.70%,11.40%,16.70%,12.20%,48.80%,28.30%,17.80%,4.29%,30.03%,73.88%,1.37,1.56%,1.85%,-0.15%,19.55%,-9.61%,8.10%,-9.61%,84.41%,60.05,98
SNI,"Scripps Networks Interactive, Inc.",Services,Broadcasting - TV,USA,22.95,17.95,1.68,4.42,5.99,22.42,17.1,0.98%,18.10%,3.55,-23.40%,16.72%,89.30%,13.63%,10.30%,20.80%,8.30%,12.30%,26.70%,18.70%,72.20%,38.90%,20.40%,6.60%,0.99%,9.59%,1.09,1.31%,1.57%,0.23%,4.47%,-5.80%,7.00%,-5.80%,14.78%,52.13,81.46
SNPS,Synopsys Inc.,Technology,Semiconductor Equipment & Materials,USA,26.59,15.18,3.75,3.17,2.15,7.66,115.31,,0.00%,1.53,30.60%,8.02%,4.10%,7.10%,8.00%,-9.10%,3.70%,5.50%,8.50%,7.60%,77.10%,11.60%,12.10%,4.09%,1.04%,10.51%,0.61,2.61%,1.65%,4.77%,4.96%,-2.70%,9.18%,-2.70%,17.77%,66.24,40.69
SO,Southern Company,Utilities,Electric Utilities,USA,17.4,15.27,5.2,2.17,2.01,67.11,,4.81%,81.60%,2.51,-30.00%,2.62%,-3.60%,3.35%,0.00%,100.00%,5.20%,3.40%,11.70%,5.70%,96.90%,25.80%,12.30%,2.61%,6.17%,9.31%,0.18,0.95%,1.39%,-0.14%,4.07%,-3.01%,4.32%,-4.48%,13.55%,51.02,43.68
SPG,Simon Property Group Inc.,Financial,REIT - Retail,USA,36.2,36.48,7.17,10.1,10.14,31.61,27.33,3.07%,105.60%,4.68,-10.20%,1.22%,17.80%,5.05%,6.40%,40.60%,8.90%,4.50%,25.50%,8.50%,82.70%,47.40%,27.60%,3.56%,14.36%,26.94%,0.85,0.89%,1.11%,1.56%,10.25%,-1.21%,5.04%,-1.21%,30.42%,56.86,169.42
SPLK,"Splunk, Inc.",Technology,Application Software,USA,,392.41,,15.73,6.58,6.3,85.85,,,-1.02,-63.00%,,-36.20%,31.67%,75.50%,-168.80%,50.20%,-15.60%,-22.00%,-10.00%,86.90%,-33.90%,-34.30%,-4.44%,-51.57%,-12.43%,,3.50%,4.03%,-7.56%,-30.34%,-22.39%,7.96%,-58.60%,11.69%,45.99,43.95
SPLS,"Staples, Inc.",Services,"Specialty Retail, Other",USA,11.28,11.28,,0.31,1.14,8.93,16.4,4.39%,56.50%,0.97,545.80%,-0.61%,-1.10%,-1.18%,0.00%,-42.30%,-2.80%,4.70%,9.00%,11.40%,25.80%,4.90%,2.40%,-4.99%,-16.51%,-19.28%,1.47,3.23%,2.45%,-2.02%,-13.49%,-7.48%,2.29%,-32.42%,2.29%,40.15,10.94
SPN,"Superior Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,,13.51,,1.2,1.31,26.58,,0.92%,,-0.77,-127.70%,40.39%,-16.70%,13.00%,19.60%,8.70%,1.50%,-1.80%,-3.10%,-0.20%,37.90%,9.50%,-2.90%,5.32%,21.15%,36.51%,1.71,1.97%,2.44%,-1.60%,15.15%,-6.24%,4.78%,-6.24%,52.41%,49.2,34.66
SPR,"Spirit AeroSystems Holdings, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,,11.3,,0.81,3.19,13.94,23.27,,,-1.44,742.50%,-0.92%,-33.90%,17.00%,9.60%,168.00%,18.60%,-3.80%,-11.80%,-21.00%,6.20%,2.40%,-3.10%,17.75%,31.52%,60.48%,1.35,1.21%,1.92%,8.84%,17.91%,-0.16%,16.48%,-0.16%,69.35%,70.17,37.68
SRCL,"Stericycle, Inc.",Industrial Goods,Waste Management,USA,32.46,24.95,2.16,4.38,5.54,392.62,26.24,,0.00%,3.68,15.60%,12.69%,16.20%,15.00%,14.60%,6.70%,21.70%,8.00%,18.10%,11.70%,44.30%,24.30%,13.80%,6.19%,3.66%,3.66%,0.21,0.78%,1.33%,0.89%,3.01%,-4.78%,4.31%,-4.78%,9.96%,56.34,119.44
SRE,Sempra Energy,Utilities,Diversified Utilities,USA,23.6,21.3,3.43,2.37,2.27,32.22,,2.55%,57.20%,4.38,15.20%,8.84%,-2.00%,6.88%,-0.40%,9.10%,1.70%,2.90%,9.90%,5.70%,98.50%,17.10%,10.20%,4.93%,13.16%,27.49%,0.42,1.07%,1.43%,1.41%,8.92%,-1.36%,7.53%,-1.36%,29.38%,56.83,103.37
SSYS,Stratasys Ltd.,Technology,Computer Peripherals,USA,,36.86,,10.62,2.27,9.3,1428.45,,,-0.19,-277.80%,36.07%,-24.40%,20.00%,31.20%,120.00%,55.20%,-0.30%,-0.30%,-1.10%,49.50%,-3.40%,-1.40%,21.88%,-7.77%,9.26%,1.28,2.37%,3.41%,8.89%,4.28%,-10.13%,25.50%,-16.31%,35.49%,64.52,115.57
STI,"SunTrust Banks, Inc.",Financial,Money Center Banks,USA,14.95,11.71,1.56,3.77,0.94,1.69,,2.10%,19.30%,2.55,-32.90%,7.04%,2.60%,9.60%,-8.30%,5.90%,-0.10%,0.80%,6.60%,12.70%,,33.70%,25.60%,0.03%,2.25%,12.54%,1.61,1.43%,1.44%,-2.12%,0.75%,-6.68%,4.70%,-7.10%,22.00%,52.23,38.13
STJ,St. Jude Medical Inc.,Healthcare,Medical Appliances & Equipment,USA,20.76,14.93,2.04,3.3,4.61,11.63,28.67,1.67%,32.90%,3.11,4.20%,8.18%,19.80%,10.20%,4.70%,132.50%,3.20%,8.80%,21.90%,12.30%,71.70%,17.90%,16.20%,0.97%,-3.91%,26.40%,1.33,1.00%,1.49%,-3.55%,1.31%,-10.22%,3.10%,-10.22%,31.42%,42.59,64.55
STLD,Steel Dynamics Inc.,Basic Materials,Steel & Iron,USA,24.27,12.56,1.01,0.73,1.82,15.64,113.68,1.97%,44.50%,0.96,13.70%,52.80%,-19.00%,24.03%,-1.80%,130.80%,14.90%,3.80%,8.50%,6.20%,10.20%,5.70%,2.90%,31.94%,38.28%,49.55%,1.76,2.00%,1.90%,17.58%,27.24%,-0.04%,37.21%,-0.04%,58.78%,77.5,23.3
